id,nb_of_available_parking_spaces,ferme,parking_id,date
52385,983,f,LPA0758,2024-12-15 19:14:10
52396,143,f,LPA0759,2024-12-15 19:15:11
52395,220,f,LPA0752,2024-12-15 19:15:11
52394,1519,f,LPA0750,2024-12-15 19:15:11
52393,774,f,LPA0749,2024-12-15 19:15:11
52392,1469,f,LPA0739,2024-12-15 19:15:11
52388,274,f,LPA0765,2024-12-15 19:15:11
52390,229,f,LPA0729,2024-12-15 19:15:11
52389,310,f,LPA0724,2024-12-15 19:15:11
52387,435,f,LPA0706,2024-12-15 19:15:11
52391,324,f,LPA0731,2024-12-15 19:15:11
52386,181,f,LPA0702,2024-12-15 19:15:11
52406,219,f,LPA0752,2024-12-15 19:16:07
52405,1521,f,LPA0750,2024-12-15 19:16:07
52401,326,f,LPA0731,2024-12-15 19:16:07
52408,178,f,LPA0756,2024-12-15 19:16:07
52407,127,f,LPA0755,2024-12-15 19:16:07
52404,773,f,LPA0749,2024-12-15 19:16:07
52398,434,f,LPA0706,2024-12-15 19:16:07
52402,174,f,LPA0732,2024-12-15 19:16:07
52400,228,f,LPA0729,2024-12-15 19:16:07
52399,275,f,LPA0765,2024-12-15 19:16:07
52397,409,f,LPA0766,2024-12-15 19:16:07
52403,1472,f,LPA0739,2024-12-15 19:16:07
52422,179,f,LPA0756,2024-12-15 19:17:10
52421,126,f,LPA0755,2024-12-15 19:17:10
52420,1524,f,LPA0750,2024-12-15 19:17:10
52419,774,f,LPA0749,2024-12-15 19:17:10
52418,277,f,LPA0746,2024-12-15 19:17:10
52417,1475,f,LPA0739,2024-12-15 19:17:10
52416,173,f,LPA0732,2024-12-15 19:17:10
52415,327,f,LPA0731,2024-12-15 19:17:10
52413,311,f,LPA0724,2024-12-15 19:17:10
52412,70,f,LPA0764,2024-12-15 19:17:10
52411,277,f,LPA0765,2024-12-15 19:17:10
52410,312,f,LPA0703,2024-12-15 19:17:10
52409,184,f,LPA0702,2024-12-15 19:17:10
52414,227,f,LPA0729,2024-12-15 19:17:10
52433,982,f,LPA0758,2024-12-15 19:18:08
52432,220,f,LPA0752,2024-12-15 19:18:08
52431,118,f,LPA0751,2024-12-15 19:18:08
52430,279,f,LPA0746,2024-12-15 19:18:08
52429,114,f,LPA0740,2024-12-15 19:18:08
52427,226,f,LPA0729,2024-12-15 19:18:08
52426,68,f,LPA0764,2024-12-15 19:18:08
52425,436,f,LPA0706,2024-12-15 19:18:08
52424,313,f,LPA0703,2024-12-15 19:18:08
52423,185,f,LPA0702,2024-12-15 19:18:08
52428,1477,f,LPA0739,2024-12-15 19:18:08
52441,178,f,LPA0756,2024-12-15 19:19:09
52440,1475,f,LPA0739,2024-12-15 19:19:09
52439,331,f,LPA0731,2024-12-15 19:19:09
52438,224,f,LPA0729,2024-12-15 19:19:09
52442,142,f,LPA0759,2024-12-15 19:19:09
52436,276,f,LPA0765,2024-12-15 19:19:09
52435,439,f,LPA0706,2024-12-15 19:19:09
52434,189,f,LPA0702,2024-12-15 19:19:09
52437,312,f,LPA0724,2024-12-15 19:19:09
52452,143,f,LPA0759,2024-12-15 19:20:11
52451,983,f,LPA0758,2024-12-15 19:20:11
52450,1525,f,LPA0750,2024-12-15 19:20:11
52449,773,f,LPA0749,2024-12-15 19:20:11
52448,280,f,LPA0746,2024-12-15 19:20:11
52447,1476,f,LPA0739,2024-12-15 19:20:11
52445,225,f,LPA0729,2024-12-15 19:20:11
52444,277,f,LPA0765,2024-12-15 19:20:11
52443,408,f,LPA0766,2024-12-15 19:20:11
52446,411,f,LPA0737,2024-12-15 19:20:11
52459,119,f,LPA0751,2024-12-15 19:21:07
52461,602,f,LPA0768,2024-12-15 19:21:07
52460,125,f,LPA0755,2024-12-15 19:21:07
52458,281,f,LPA0746,2024-12-15 19:21:07
52457,314,f,LPA0724,2024-12-15 19:21:07
52456,276,f,LPA0765,2024-12-15 19:21:07
52455,440,f,LPA0706,2024-12-15 19:21:07
52454,193,f,LPA0702,2024-12-15 19:21:07
52453,412,f,LPA0766,2024-12-15 19:21:07
52471,982,f,LPA0758,2024-12-15 19:22:07
52470,179,f,LPA0756,2024-12-15 19:22:07
52469,282,f,LPA0746,2024-12-15 19:22:07
52468,1475,f,LPA0739,2024-12-15 19:22:07
52467,172,f,LPA0732,2024-12-15 19:22:07
52472,204,f,LPA0776,2024-12-15 19:22:07
52465,313,f,LPA0724,2024-12-15 19:22:07
52464,69,f,LPA0764,2024-12-15 19:22:07
52463,441,f,LPA0706,2024-12-15 19:22:07
52462,192,f,LPA0702,2024-12-15 19:22:07
52466,330,f,LPA0731,2024-12-15 19:22:07
52481,981,f,LPA0758,2024-12-15 19:23:08
52480,177,f,LPA0756,2024-12-15 19:23:08
52479,280,f,LPA0746,2024-12-15 19:23:08
52478,1477,f,LPA0739,2024-12-15 19:23:08
52477,331,f,LPA0731,2024-12-15 19:23:08
52475,444,f,LPA0706,2024-12-15 19:23:08
52474,191,f,LPA0702,2024-12-15 19:23:08
52473,413,f,LPA0766,2024-12-15 19:23:08
52476,275,f,LPA0765,2024-12-15 19:23:08
52489,282,f,LPA0746,2024-12-15 19:24:08
52492,980,f,LPA0758,2024-12-15 19:24:08
52491,175,f,LPA0756,2024-12-15 19:24:08
52490,774,f,LPA0749,2024-12-15 19:24:08
52488,1475,f,LPA0739,2024-12-15 19:24:08
52482,415,f,LPA0766,2024-12-15 19:24:08
52486,71,f,LPA0764,2024-12-15 19:24:08
52483,190,f,LPA0702,2024-12-15 19:24:08
52487,316,f,LPA0724,2024-12-15 19:24:08
52485,274,f,LPA0765,2024-12-15 19:24:08
52484,446,f,LPA0706,2024-12-15 19:24:08
52503,601,f,LPA0768,2024-12-15 19:25:11
52502,142,f,LPA0759,2024-12-15 19:25:11
52501,979,f,LPA0758,2024-12-15 19:25:11
52499,333,f,LPA0731,2024-12-15 19:25:11
52500,174,f,LPA0756,2024-12-15 19:25:11
52496,70,f,LPA0764,2024-12-15 19:25:11
52495,449,f,LPA0706,2024-12-15 19:25:11
52494,189,f,LPA0702,2024-12-15 19:25:11
52493,413,f,LPA0766,2024-12-15 19:25:11
52497,313,f,LPA0724,2024-12-15 19:25:11
52498,224,f,LPA0729,2024-12-15 19:25:11
52512,284,f,LPA0746,2024-12-15 19:26:08
52517,143,f,LPA0759,2024-12-15 19:26:08
52516,977,f,LPA0758,2024-12-15 19:26:08
52515,123,f,LPA0755,2024-12-15 19:26:08
52514,118,f,LPA0751,2024-12-15 19:26:08
52513,775,f,LPA0749,2024-12-15 19:26:08
52511,1476,f,LPA0739,2024-12-15 19:26:08
52509,225,f,LPA0729,2024-12-15 19:26:08
52508,309,f,LPA0724,2024-12-15 19:26:08
52507,67,f,LPA0764,2024-12-15 19:26:08
52506,273,f,LPA0765,2024-12-15 19:26:08
52505,453,f,LPA0706,2024-12-15 19:26:08
52504,190,f,LPA0702,2024-12-15 19:26:08
52510,334,f,LPA0731,2024-12-15 19:26:08
52530,205,f,LPA0776,2024-12-15 19:27:08
52529,219,f,LPA0752,2024-12-15 19:27:08
52528,776,f,LPA0749,2024-12-15 19:27:08
52527,285,f,LPA0746,2024-12-15 19:27:08
52526,113,f,LPA0740,2024-12-15 19:27:08
52525,1473,f,LPA0739,2024-12-15 19:27:08
52523,226,f,LPA0729,2024-12-15 19:27:08
52522,310,f,LPA0724,2024-12-15 19:27:08
52521,66,f,LPA0764,2024-12-15 19:27:08
52520,457,f,LPA0706,2024-12-15 19:27:08
52519,189,f,LPA0702,2024-12-15 19:27:08
52518,414,f,LPA0766,2024-12-15 19:27:08
52524,171,f,LPA0732,2024-12-15 19:27:08
52540,142,f,LPA0759,2024-12-15 19:28:07
52539,976,f,LPA0758,2024-12-15 19:28:07
52538,173,f,LPA0756,2024-12-15 19:28:07
52537,1526,f,LPA0750,2024-12-15 19:28:07
52536,172,f,LPA0732,2024-12-15 19:28:07
52534,227,f,LPA0729,2024-12-15 19:28:07
52533,309,f,LPA0724,2024-12-15 19:28:07
52532,386,f,LPA0716,2024-12-15 19:28:07
52531,190,f,LPA0702,2024-12-15 19:28:07
52535,335,f,LPA0731,2024-12-15 19:28:07
52550,974,f,LPA0758,2024-12-15 19:29:08
52549,117,f,LPA0751,2024-12-15 19:29:08
52548,1528,f,LPA0750,2024-12-15 19:29:08
52547,1474,f,LPA0739,2024-12-15 19:29:08
52546,336,f,LPA0731,2024-12-15 19:29:08
52551,602,f,LPA0768,2024-12-15 19:29:08
52544,310,f,LPA0724,2024-12-15 19:29:08
52543,65,f,LPA0764,2024-12-15 19:29:08
52542,460,f,LPA0706,2024-12-15 19:29:08
52541,188,f,LPA0702,2024-12-15 19:29:08
